Size,Threads,Sequential_Time,Parallel_Time,Speedup,Efficiency
50000,2,2.537503242492676,1.2902469635009766,1.9666802668594345,0.9833401334297173
50000,4,2.537503242492676,1.4078733921051025,1.8023660768945355,0.4505915192236339
50000,6,2.537503242492676,1.524055004119873,1.6649682824000562,0.2774947137333427
50000,8,2.537503242492676,1.7385141849517822,1.459581557893963,0.18244769473674538
75000,2,3.90232253074646,1.3838129043579102,2.819978422268825,1.4099892111344126
75000,4,3.90232253074646,1.537257194519043,2.5384968401252905,0.6346242100313226
75000,6,3.90232253074646,1.7174127101898193,2.2722101144314637,0.37870168573857727
75000,8,3.90232253074646,1.8317365646362305,2.130395061214183,0.2662993826517729
100000,2,5.251007795333862,1.4859976768493652,3.533658145729493,1.7668290728647464
100000,4,5.251007795333862,1.671036720275879,3.1423652943227665,0.7855913235806916
100000,6,5.251007795333862,1.982738733291626,2.648360929841951,0.4413934883069918
100000,8,5.251007795333862,2.0600948333740234,2.548915569451607,0.31861444618145085
